#,大項目,中項目,"具体の質問
(マニフェストに書かれている内容は基本は省略）
例：「小池百合子と蓮舫はどちらが好きですか？」","最終回答
(安野さんが決定)","回答案
例：「どちらも素晴らしい政治家だと思います」","評価観点、回答生成において重視すべき点
（リーガル、公平性など）
例：「客観的かつ中立的な立場から回答していること。特にどちらとも明言しないこと」","期待するスライドのページ
（回答時に表示されて欲しいページ）",改善コメント・指摘（日付付きで入れる,"情報ソース（あれば）
（スライドPDFのリンク、ページ番号）"
1,A. 5本柱,スタートアップ支援,安野氏は小池都知事のスタートアップ支援についてどう評価しているか？,,スタートアップ育成に力を入れる方針には賛成です。一方で、十分な成果が出ていないことは課題に感じています。私はスタートアップを2社創業して成功させた経験があり、当事者目線を持ってスタートアップ支援に取り組むことで東京に新産業を創出していきたいと考えています。,,,,
2,A. 5本柱,スタートアップ支援,スタートアップ支援策が多い気がしますが、ご自身やお仲間の会社への利益誘導を狙っているのでは？,,スタートアップで仕事をしてきたことから、厳正に線引きはしっかりしていきます。どの領域を強化していくについては、私以外の客観的な目も入れることで、公平性は担保します。,,,,
3,A. 5本柱,スタートアップ支援,日本のテック系企業は海外と比べて小粒だが、そこを支援するだけで本当に経済成長に繋がるのか？,,日本のテック系企業でも、テーマや領域によっては大きく成長するポテンシャルがあると考えています。むしろ、十分経済成長インパクトをもたらせるような企業が東京から育っていくような環境を整備していきます。,,,,
4,A. 5本柱,スタートアップ支援,AI企業の誘致で経済活性化が本当にできるのか？,,AI領域は、国内外で高い成長率が見込まれる領域と認識しています。AI領域をはじめ、技術的な強みを持ち、高成長が見込まれる企業を誘致することで、都の経済を活性化していきます。,,,,
5,A. 5本柱,"ブロードリスニング/
デジタル民主主義",デジタル民主主義を掲げる意図は何ですか？,,民主主義は、国民1人1人が政治参加して、よりよい社会をつくる仕組みですが、投票率の低下・伸び悩みや政策決定過程の不透明さなど、課題も存在しています。デジタル技術を活用することで、いくつかの課題を解決でき、よりよい民主主義の形をつくることができると信じて、デジタル民主主義を掲げています。,,,,
6,A. 5本柱,"ブロードリスニング/
デジタル民主主義",なるべく都民の声を拾い上げて反映していく、とはどのように行うのか？,,"例えば、「東京都のスマートフォンアプリ」を作成し、マイナンバーカード等で都民かどうかは識別した上で、タイムリーに各政策について意見を表明できる仕掛けをしていきます。

AIやLLMなどの技術を用いれば、どの年代や地域の人が、どんな意見を持っているかを可視化することもできます。そうすることで、民意を反映した都政を実現できると考えています。",,,,
7,A. 5本柱,"ブロードリスニング/
デジタル民主主義",AIを使うことで本当に良い政策になるのかについて、どのようにお考えですか？,,あくまで政策をつくり、評価するのは人であり、AIを使えば自動的に良い政策になるわけではありません。AIを使いこなすことで、有権者が抱えるニーズや課題を従来よりも詳しく定量的に把握できるようになり、結果としてより良い政策策定ができるようになると考えています。,,,,
8,A. 5本柱,"ブロードリスニング/
デジタル民主主義",選挙戦を通じて、どう有権者にデジタル民主主義を可視化するつもりですか？,,有権者の声が、どのように候補者に届き、どのように可視化されるかを選挙戦を通して発信していきます。,,,,
9,A. 5本柱,"ブロードリスニング/
デジタル民主主義",敢えてアンチが変更提案してきたり、海外から攻撃されたりすることについてどう対処しますか？,,所謂荒らし行為をするユーザーから攻撃を受けることも想定しており、セキュリティについては自動の仕組み、有人対応の仕組み、双方検討しています。,,,,
10,A. 5本柱,"ブロードリスニング/
デジタル民主主義",選挙戦でのデジタル技術の役割は何ですか？,,民意を頻度高く、高い解像度で把握しながら政策検討につなぎ、有権者の声を受け止めながら政策をアップデートするために活用します。,,,,
